t,loc_0,loc_1,loc_2,loc_3,loc_4
0,0.218,0.179,0.194,0.212,0.197
1,0.199,0.195,0.2,0.213,0.193
2,0.193,0.215,0.187,0.211,0.194
3,0.213,0.213,0.189,0.194,0.191
4,0.195,0.2,0.208,0.194,0.203
5,0.208,0.206,0.21,0.171,0.205
6,0.215,0.197,0.224,0.185,0.179
7,0.183,0.151,0.38,0.139,0.147
8,0.146,0.124,0.473,0.144,0.113
9,0.171,0.149,0.411,0.149,0.12
10,0.175,0.172,0.345,0.166,0.142
11,0.177,0.181,0.326,0.155,0.161
12,0.195,0.176,0.291,0.166,0.172
13,0.203,0.197,0.254,0.179,0.167
14,0.214,0.176,0.256,0.186,0.168
15,0.21,0.185,0.233,0.192,0.18
16,0.202,0.19,0.216,0.205,0.187
17,0.21,0.181,0.173,0.22,0.216
18,0.19,0.2,0.199,0.208,0.203
19,0.19,0.204,0.199,0.192,0.215
20,0.201,0.174,0.2,0.207,0.218
21,0.187,0.182,0.191,0.234,0.206
22,0.179,0.201,0.221,0.201,0.198
23,0.188,0.206,0.213,0.198,0.195
24,0.193,0.216,0.214,0.197,0.18
25,0.214,0.164,0.198,0.22,0.204
26,0.211,0.236,0.189,0.179,0.185
27,0.212,0.208,0.212,0.194,0.174
28,0.191,0.215,0.182,0.197,0.215
29,0.2,0.204,0.188,0.201,0.207
30,0.208,0.19,0.192,0.203,0.207
31,0.164,0.175,0.349,0.147,0.165
32,0.144,0.154,0.445,0.128,0.129
33,0.155,0.186,0.368,0.156,0.135
34,0.167,0.179,0.317,0.165,0.172
35,0.164,0.204,0.295,0.16,0.177
36,0.188,0.196,0.247,0.194,0.175
37,0.184,0.187,0.238,0.193,0.198
38,0.19,0.196,0.228,0.199,0.187
39,0.187,0.192,0.22,0.215,0.186
40,0.194,0.203,0.201,0.219,0.183
41,0.226,0.196,0.188,0.189,0.201
42,0.218,0.187,0.185,0.219,0.191
43,0.2,0.203,0.189,0.203,0.205
44,0.202,0.215,0.173,0.207,0.203
45,0.217,0.197,0.164,0.203,0.219
46,0.21,0.236,0.182,0.192,0.18
47,0.194,0.187,0.224,0.224,0.171
48,0.198,0.181,0.201,0.205,0.215
49,0.19,0.197,0.187,0.203,0.223
50,0.204,0.193,0.206,0.212,0.185
51,0.192,0.206,0.212,0.191,0.199
52,0.187,0.206,0.21,0.19,0.207
53,0.196,0.188,0.198,0.223,0.195
54,0.2,0.186,0.192,0.212,0.21
55,0.165,0.172,0.328,0.163,0.172
56,0.134,0.143,0.419,0.157,0.147
57,0.149,0.154,0.387,0.159,0.151
58,0.168,0.147,0.352,0.177,0.156
59,0.184,0.162,0.306,0.199,0.149
60,0.17,0.184,0.284,0.193,0.169
61,0.164,0.199,0.268,0.205,0.164
62,0.169,0.231,0.247,0.178,0.175
63,0.151,0.23,0.25,0.193,0.176
64,0.148,0.222,0.264,0.195,0.171
65,0.207,0.188,0.192,0.192,0.221
66,0.201,0.177,0.191,0.22,0.211
67,0.201,0.204,0.192,0.199,0.204
68,0.176,0.207,0.207,0.208,0.202
69,0.175,0.227,0.205,0.21,0.183
70,0.196,0.204,0.18,0.2,0.22
71,0.201,0.196,0.218,0.19,0.195
72,0.198,0.214,0.21,0.182,0.196
73,0.203,0.17,0.208,0.224,0.195
74,0.195,0.207,0.194,0.199,0.205
75,0.182,0.218,0.184,0.226,0.19
76,0.209,0.195,0.217,0.194,0.185
77,0.201,0.204,0.202,0.181,0.212
78,0.185,0.199,0.192,0.206,0.218
79,0.14,0.14,0.369,0.165,0.186
80,0.133,0.122,0.455,0.149,0.141
81,0.145,0.146,0.373,0.169,0.167
82,0.156,0.152,0.327,0.171,0.194
83,0.168,0.175,0.298,0.186,0.173
84,0.182,0.207,0.272,0.171,0.168
85,0.2,0.216,0.244,0.166,0.174
86,0.217,0.214,0.238,0.155,0.176
87,0.212,0.199,0.244,0.157,0.188
88,0.197,0.188,0.247,0.172,0.196
89,0.192,0.189,0.193,0.23,0.196
90,0.228,0.195,0.186,0.213,0.178
91,0.22,0.197,0.205,0.201,0.177
92,0.221,0.208,0.182,0.199,0.19
93,0.193,0.17,0.205,0.214,0.218
94,0.206,0.196,0.206,0.194,0.198
95,0.192,0.227,0.198,0.207,0.176
96,0.205,0.197,0.198,0.199,0.201
97,0.2,0.184,0.224,0.207,0.185
98,0.21,0.201,0.192,0.192,0.205
99,0.202,0.189,0.208,0.206,0.195
100,0.192,0.216,0.187,0.196,0.209
101,0.209,0.187,0.179,0.199,0.226
102,0.183,0.199,0.227,0.196,0.195
103,0.159,0.153,0.383,0.165,0.14
104,0.138,0.144,0.439,0.149,0.13
105,0.141,0.166,0.402,0.157,0.134
106,0.15,0.167,0.361,0.176,0.146
107,0.161,0.183,0.318,0.173,0.165
108,0.179,0.181,0.287,0.173,0.18
109,0.197,0.174,0.27,0.176,0.183
110,0.208,0.184,0.231,0.17,0.207
111,0.221,0.191,0.218,0.182,0.188
112,0.22,0.179,0.228,0.187,0.186
113,0.21,0.177,0.208,0.198,0.207
114,0.208,0.187,0.189,0.212,0.204
115,0.199,0.196,0.195,0.199,0.211
116,0.215,0.211,0.198,0.193,0.183
117,0.198,0.201,0.201,0.201,0.199
118,0.209,0.189,0.214,0.198,0.19
119,0.215,0.215,0.214,0.197,0.159
120,0.2,0.213,0.213,0.2,0.174
121,0.197,0.205,0.189,0.2,0.209
122,0.194,0.215,0.212,0.185,0.194
123,0.209,0.194,0.199,0.195,0.203
124,0.204,0.184,0.211,0.187,0.214
125,0.199,0.214,0.196,0.175,0.216
126,0.205,0.2,0.213,0.193,0.189
127,0.157,0.17,0.356,0.168,0.149
128,0.129,0.124,0.455,0.146,0.146
129,0.149,0.142,0.38,0.154,0.175
130,0.171,0.164,0.342,0.17,0.153
131,0.17,0.181,0.324,0.187,0.138
132,0.161,0.207,0.287,0.195,0.15
133,0.162,0.211,0.25,0.184,0.193
134,0.163,0.217,0.245,0.187,0.188
135,0.168,0.217,0.236,0.181,0.198
136,0.165,0.208,0.225,0.186,0.216
137,0.194,0.179,0.191,0.218,0.218
138,0.212,0.193,0.176,0.225,0.194
139,0.217,0.171,0.181,0.212,0.219
140,0.194,0.181,0.201,0.203,0.221
141,0.201,0.189,0.214,0.2,0.196
142,0.189,0.197,0.194,0.223,0.197
143,0.188,0.219,0.2,0.187,0.206
144,0.188,0.188,0.2,0.218,0.206
145,0.203,0.197,0.193,0.202,0.205
146,0.188,0.217,0.188,0.209,0.198
147,0.204,0.204,0.197,0.194,0.201
148,0.207,0.205,0.185,0.202,0.201
149,0.201,0.212,0.206,0.19,0.191
150,0.192,0.198,0.192,0.205,0.213
151,0.153,0.162,0.346,0.156,0.183
152,0.125,0.148,0.448,0.143,0.136
153,0.146,0.149,0.39,0.164,0.151
154,0.158,0.153,0.365,0.174,0.15
155,0.175,0.149,0.334,0.192,0.15
156,0.185,0.162,0.295,0.22,0.138
157,0.202,0.166,0.295,0.204,0.133
158,0.187,0.208,0.248,0.203,0.154
159,0.209,0.205,0.218,0.2,0.168
160,0.206,0.196,0.23,0.182,0.186
161,0.205,0.204,0.184,0.205,0.202
162,0.205,0.184,0.201,0.214,0.196
163,0.178,0.226,0.214,0.192,0.19
164,0.188,0.203,0.183,0.212,0.214
165,0.202,0.193,0.215,0.194,0.196
166,0.206,0.2,0.205,0.192,0.197
167,0.192,0.212,0.2,0.22,0.176
168,0.192,0.191,0.191,0.225,0.201
169,0.195,0.204,0.193,0.214,0.194
170,0.193,0.215,0.179,0.209,0.204
171,0.225,0.203,0.199,0.199,0.174
172,0.188,0.205,0.207,0.214,0.186
173,0.178,0.217,0.179,0.212,0.214
174,0.185,0.23,0.199,0.198,0.188
175,0.152,0.173,0.351,0.149,0.175
176,0.136,0.158,0.437,0.125,0.144
177,0.154,0.159,0.366,0.138,0.183
178,0.157,0.162,0.329,0.163,0.189
179,0.16,0.177,0.283,0.178,0.202
180,0.17,0.185,0.258,0.175,0.212
181,0.185,0.188,0.226,0.195,0.206
182,0.19,0.193,0.218,0.195,0.204
183,0.181,0.193,0.204,0.206,0.216
184,0.18,0.213,0.209,0.197,0.201
185,0.225,0.173,0.186,0.211,0.205
186,0.207,0.191,0.183,0.208,0.211
187,0.202,0.188,0.21,0.214,0.186
188,0.207,0.214,0.173,0.195,0.211
189,0.199,0.2,0.2,0.178,0.223
190,0.211,0.181,0.191,0.207,0.21
191,0.2,0.188,0.199,0.206,0.207
192,0.206,0.202,0.195,0.207,0.19
193,0.192,0.213,0.202,0.207,0.186
194,0.232,0.184,0.203,0.194,0.187
